Layer,Name,GEOID,APR_2023,EJV_2024,EKW_2024,EVR_2018,HBS_2019-2023,HBU_2019-2023,HCP_2023,HUO_2019-2023,MHC_2019-2023,RBS_2019-2023,RBU_2019-2023,REX_2019-2023,RNT_2019-2023,SLA-S_2019-2023,TRV_2019-2023,VAL_2019-2023
,,,"Mortgage approval rate (% of mortgages), 2023","Vulnerable Demographic Index (percentile), 2024","Walkability Index, 2024","Eviction rate (% of renter-occupied households), 2018","Severe housing cost burden (% of occupied housing units), 2019-2023","Housing cost burden (% of occupied housing units), 2019-2023","Prevalence of Housing Choice Vouchers (% of renter-occupied units), 2023","Owner occupied (% of occupied housing units), 2019-2023","Median monthly housing costs, 2019-2023","Severely rent-burdened (% of renter-occupied housing units), 2019-2023","Rent-burdened (% of renter-occupied housing units), 2019-2023","Race-Ethnicity Diversity Index, 2019-2023","Median gross rent, 2019-2023","Seniors living alone, 65 and older (% of seniors), 2019-2023","Mean travel time to work (minutes), 2019-2023","Median home value, 2019-2023"
Census tract,Tract 201,55015020100,66.42857142857143,17.0,4.88,0.7100048401822461,5.623471882640587,18.728606356968218,,80.24449877750611,965.9999999999999,22.02970297029703,28.217821782178216,0.089339828569888,809.9999999999999,27.171492204899774,22.6,201999.99999999997
Census tract,Tract 202,55015020200,64.28571428571429,25.0,5.9,0.8599850974101472,10.39056742815033,23.80250552689757,,83.78776713338246,1032.0,18.636363636363637,45.45454545454545,0.1916290924083131,1042.9999999999998,20.373027259684363,23.5,215300.0
Census tract,Tract 203.03,55015020303,78.07017544,21.0,7.0,1.21,1.477832512315271,11.945812807881774,,82.82019704433498,1155.9999999999998,0.0,13.261648745519713,0.3668814125442748,1076.9999999999998,19.15708812260537,26.0,186099.99999999997
Census tract,Tract 203.04,55015020304,75.75757575757575,45.0,8.33,0.73,10.15831134564644,21.372031662269126,3.75,50.59366754617414,868.9999999999999,16.555407209612817,33.37783711615487,0.4586303674145758,766.0,18.01801801801802,22.4,218499.99999999997
Census tract,Tract 203.06,55015020306,78.74564459930313,3.0,6.33,3.3,7.545760179305192,20.02241314904744,,98.1322375793799,1514.0,0.0,42.0,0.0985041815239253,1174.0,23.23049001814882,25.1,300100.0
Census tract,Tract 203.08,55015020308,83.83838383838383,14.0,6.75,0.78,11.74068402246044,22.76671771311894,,78.91781521184278,1531.0,26.150121065375306,57.6271186440678,0.3267943634460972,1389.0,36.14627285513362,19.2,354400.0
Census tract,Tract 204,55015020400,77.11864406779661,5.0,5.62,0.6199300073201149,16.189856957087127,25.03250975292588,,89.79193758127438,1130.0,20.382165605095544,21.656050955414013,0.1050036461163097,721.0,26.948051948051948,30.2,285500.0
Census tract,Tract 205,55015020500,71.18644068,20.0,5.36,0.5400142318684318,5.322003577817531,13.103756708407872,,76.52057245080502,732.9999999999999,18.285714285714285,22.666666666666664,0.159528029183928,745.9999999999999,30.90024330900243,19.0,178099.99999999997
Census tract,Tract 206,55015020600,69.0,15.0,5.44,0.4700317014864584,4.92633517495396,17.587476979742174,,77.20994475138122,920.0,15.757575757575756,31.91919191919192,0.1843831118560266,807.0,31.96229648671808,29.6,182299.99999999997
