"Layer","Name","GEOID","ACT","CAR","PUB","NVC","TRV","EKW","Index"
"Census tract","Tract 21","55139002100",0,100,41.834451901566,0,100,0,40.3057419835943
"Census tract","Tract 20.02","55139002002",0,100,38.780775468082,0,100,2.6268115942029,40.2345978437141
"Census tract","Tract 27","55139002700",0,100,29.1845493562232,0,100,12.0086778968862,40.1988712088516
"Census tract","Tract 126.03","55087012603",0,100,40.9821334179089,0,100,0,40.1636889029848
"Census tract","Tract 22.01","55139002201",0,100,40.8572137451929,0,100,0,40.1428689575322
"Census tract","Tract 109","55087010900",0,100,39.2298435619735,0,100,0,39.8716405936623
"Census tract","Tract 24.01","55139002401",0,100,38.6042926597889,0,100,0,39.7673821099648
"Census tract","Tract 119.02","55087011902",0,100,38.1621372639337,0,100,0,39.6936895439889
"Census tract","Tract 9","55139000900",0,100,0,0,100,36.9369369369369,39.4894894894895
"Census tract","Tract 112","55087011200",0,100,36.8959316700382,0,100,0,39.4826552783397
"Census tract","Tract 203.04","55015020304",0,100,0,0,100,36.5655233069481,39.4275872178247
"Census tract","Tract 208","55015020800",0,100,35.8734274464612,0,100,0.684931506849314,39.4263931588851
"Census tract","Tract 9400","55087940000",0,100,35.1941356532947,0,100,0,39.1990226088824
"Census tract","Tract 129.03","55087012903",0,100,30.9360730593607,0,100,3.45163222521713,39.0646175474296
"Census tract","Tract 207","55015020700",0,100,33.2248486924746,0,100,0,38.8708081154124
"Census tract","Tract 22.02","55139002202",0,100,31.7496229260935,0,100,0,38.6249371543489
"Census tract","Tract 121.02","55087012102",0,100,30.661068905771,0,100,0,38.4435114842952
"Census tract","Tract 125.04","55087012504",0,100,30.3212851405622,0,100,0,38.3868808567604
"Census tract","Tract 128","55087012800",0,100,30.3103948153833,0,100,0,38.3850658025639
"Census tract","Tract 126.02","55087012602",0,100,29.6919243402424,0,100,0,38.2819873900404
"Census tract","Tract 16","55139001600",0,100,28.839521201055,0,100,0,38.1399202001758
"Census tract","Tract 18.01","55139001801",0,100,22.4215246636771,0,100,5.77143266065551,38.0321595540554
"Census tract","Tract 111.03","55087011103",0,100,28.1708369283865,0,100,0,38.0284728213978
"Census tract","Tract 17","55139001700",0,100,24.0715268225585,0,100,0,37.3452544704264
"Census tract","Tract 203.06","55015020306",0,100,21.650534895568,0,100,0,36.941755815928
"Census tract","Tract 19","55139001900",0,100,19.5503421309873,0,100,0,36.5917236884979
"Census tract","Tract 111.01","55087011101",0,100,1.83958793230316,0,100,8.93817204301075,35.1296266625523
"Census tract","Tract 120","55087012000",0,100,1.30344108446298,0,100,2.98397549192883,34.047902762732
"Census tract","Tract 37.03","55139003703",0,100,0,0,100,3.45884413309982,33.9098073555166
"Census tract","Tract 106.02","55087010602",0,100,2.52016129032258,0,100,0,33.7533602150538
"Census tract","Tract 203.08","55015020308",0,100,0,0,100,0,33.3333333333333
"Census tract","Tract 125.03","55087012503",0,100,0,0,100,0,33.3333333333333
"Census tract","Tract 126.04","55087012604",0,100,0,0,100,0,33.3333333333333
"Census tract","Tract 18.04","55139001804",0,100,0,0,100,0,33.3333333333333
"Census tract","Tract 24.02","55139002402",0,100,0,0,100,0,33.3333333333333
"City or town","New London, WI","5556925",0,100,89.3341190335887,0,100,36.3726118048885,54.2844551397462
"City or town","Oshkosh, WI","5560500",0,100,78.6255617895015,0,100,41.7123981855711,53.3896599958454
"City or town","Kimberly, WI","5539650",0,100,29.1829378191649,0,100,65.4517208413002,49.1057764434108
"City or town","Appleton, WI","5502375",0,100,63.4548325269975,0,100,22.4184489090516,47.6455469060082
"City or town","Menasha, WI","5550825",0,100,54.4009906098442,0,100,30.5003313452618,47.4835536591843
"City or town","Neenah, WI","5555750",0,100,67.1052938568862,0,100,17.7842199994099,47.481585642716
"City or town","Bear Creek, WI","5505575",0,100,82,0,100,0,47
"City or town","Stockbridge, WI","5577400",0,100,75.5376344086021,0,100,4.82456140350877,46.7270326353518
"City or town","Kiel, WI","5539525",0,100,68.8615190273172,0,100,7.82382912012542,46.1142246912404
"City or town","Wrightstown, WI","5589150",0,100,60.947799750579,0,100,15.6666666666667,46.1024110695409
"City or town","Seymour, WI","5572725",0,100,75.6591337099812,0,100,0,45.9431889516635
"City or town","Brillion, WI","5509725",0,100,70.4354618238625,0,100,4.06287069988138,45.7497220872906
"City or town","Kaukauna, WI","5538800",0,100,52.3156737442452,0,100,21.7091295116773,45.6708005426537
"City or town","Hilbert, WI","5534575",0,100,59.4259621656882,0,100,3.86002886002886,43.8809985042862
"City or town","Chilton, WI","5514475",0,100,62.1326244277064,0,100,0,43.6887707379511
"City or town","New Holstein, WI","5556800",0,100,56.7810917276308,0,100,3.34868887313962,43.3549634334617
"City or town","Dale, WI","5518500",0,100,54.6401515151515,0,100,0,42.4400252525253
"City or town","Omro, WI","5559875",0,100,46.2730755834204,0,100,7.0310859063222,42.2173602482904
"City or town","Shiocton, WI","5573625",0,100,50.1683501683502,0,100,0,41.6947250280584
"City or town","Butte des Morts, WI","5511500",0,100,47.8458049886621,0,100,0,41.307634164777
"City or town","Little Chute, WI","5544950",0,100,47.5965926376635,0,100,0,41.2660987729439
"City or town","Winneconne, WI","5587900",0,100,30.4304304304304,0,100,13.817310868847,40.7079568832129
"City or town","Black Creek, WI","5507725",0,100,43.0797675647121,0,100,0,40.5132945941187
"City or town","Winchester, WI","5587625",0,100,33.5585585585586,0,100,0,38.9264264264264
"City or town","Hortonville, WI","5535850",0,100,32.7115924588849,0,100,0,38.7852654098141
"City or town","Forest Junction, WI","5526575",0,100,29.2929292929293,0,100,0,38.2154882154882
"City or town","Eureka, WI","5524475",0,100,29.1979949874687,0,100,0,38.1996658312448
