Layer,Name,GEOID,Population,Longitude,Latitude,ACT_2019-2023,CAR_2019-2023,EKW_2024,NVC_2019-2023,PUB_2019-2023,TRV_2019-2023
,,,,,,"Active transportation to work (% of workers 16 years and older), 2019-2023","Drive alone to work (% of workers 16 years and older), 2019-2023","Walkability Index, 2024","No vehicle available (% of households), 2019-2023","Public transportation to work (% of workers 16 years and older), 2019-2023","Mean travel time to work (minutes), 2019-2023"
Zip code,53014,53014,8073,-88.17631200,44.02607600,2.939770554493308,73.54206500956023,5.4504917627764495,2.3913677456984543,0.0717017208413001,22.7
Zip code,53020,53020,3474,-88.01141500,43.86177700,1.927570093457944,78.32943925233646,4.3783419682548,3.032300593276203,0.2920560747663551,21.2
Zip code,53042,53042,6886,-87.97232900,43.95687300,3.460587750617962,81.32381213952212,5.76658437393928,4.073680481756996,0.0,20.7
Zip code,53049,53049,2536,-88.28860500,43.88611600,1.3479359730412803,75.40016849199664,4.677886435704729,3.862212943632568,0.0,26.4
Zip code,53061,53061,5055,-88.12065400,43.94542700,2.426278462112729,83.0160507652109,5.402358062034271,5.089408528198074,0.0746547219111608,29.4
Zip code,53088,53088,279,-88.30091300,44.07049900,14.0625,77.34375,5.62,10.317460317460316,0.0,20.7
Zip code,54106,54106,4674,-88.45658800,44.48546200,1.872659176029963,82.60507698709945,3.928831835571075,0.7608178792201616,0.0,30.7
Zip code,54107,54107,3691,-88.45566300,44.70104300,6.180344478216818,72.89766970618035,5.095835815749779,3.9735099337748343,0.0,23.2
Zip code,54110,54110,5542,-88.07512700,44.18768900,3.075396825396825,82.87037037037037,4.87488632288276,2.4977293369663944,0.0,23.3
Zip code,54113,54113,3631,-88.30951600,44.26186700,0.0544662309368191,90.0326797385621,6.88,4.285714285714286,0.0,19.1
Zip code,54115,54115,48710,-88.09639000,44.39796700,2.0983436084082303,79.41023546015003,6.749202628061466,2.422180470217844,0.0185694124637896,18.8
Zip code,54123,54123,248,-88.14264500,44.21098500,2.255639097744361,97.74436090225564,4.88,0.0,0.0,23.1
Zip code,54129,54129,3525,-88.19419800,44.13158000,2.371794871794872,82.37179487179486,5.820374468591719,2.361111111111111,0.0,27.7
Zip code,54130,54130,27473,-88.24431000,44.31131300,2.526397616117121,80.52730452808188,7.401959014302159,4.5712228921083415,0.3498089006931398,20.9
Zip code,54136,54136,6703,-88.33853500,44.26821900,0.8012820512820512,84.1025641025641,8.410962255673967,11.200267469073887,0.0,19.7
Zip code,54140,54140,8396,-88.30922900,44.28651500,2.761692650334076,83.40757238307349,8.361119580622013,2.0767233919815404,0.155902004454343,18.8
Zip code,54152,54152,249,-88.47052810,44.56646610,0.0,97.6923076923077,4.19,0.0,0.0,30.5
Zip code,54155,54155,7853,-88.20054800,44.52749500,0.3857032656209822,80.5605554127025,6.435391570382005,2.569670647846544,0.0,21.1
Zip code,54160,54160,244,-88.10170400,44.11848100,0.6578947368421052,84.21052631578947,5.9,0.0,0.6578947368421052,19.0
Zip code,54165,54165,7877,-88.32201300,44.51663000,3.734147487083138,77.242837012682,6.526273963045602,1.4920311970159377,0.1409112259276655,23.5
Zip code,54169,54169,3325,-88.28073900,44.17668600,0.0,80.26018099547511,6.33,0.3325020781379884,0.0,27.0
Zip code,54170,54170,3863,-88.57693000,44.53609600,1.4008620689655171,84.32112068965517,3.972881180330244,1.568627450980392,0.2155172413793103,31.0
Zip code,54180,54180,3268,-88.17579500,44.32572800,3.278688524590164,77.04918032786885,6.515642594843824,4.841269841269842,0.0,21.5
Zip code,54313,54313,39911,-88.11503700,44.58377300,0.3442834600487734,78.65920719169894,6.469289919757397,1.8344547416529136,0.2343040214220819,19.7
Zip code,54901,54901,37594,-88.53577300,44.06275900,7.506196788447031,74.9541976506089,12.677781029284098,8.3345339288287,1.266300247871538,18.2
Zip code,54902,54902,22309,-88.54028500,43.94689500,4.062788550323177,81.20540585914547,13.261748621895935,6.520219670494258,0.7806597834298665,16.4
Zip code,54904,54904,21828,-88.62383900,44.02340000,1.0732696695681567,78.12896137919378,10.209388400143103,4.613789528252981,0.0845094228006422,18.8
Zip code,54911,54911,26964,-88.38100300,44.28153300,7.53937910995565,67.71677626548403,9.299907283987439,8.676147752219146,0.6423000458785747,17.5
Zip code,54913,54913,23818,-88.39997000,44.33599600,1.890599312509341,80.73531609624868,7.207288604768533,1.2367130008176614,0.0074727245553728,19.7
Zip code,54914,54914,31082,-88.45203300,44.28083900,2.12666510867025,79.3760224351484,8.59745061414649,4.133392487429754,1.127599906520215,18.9
Zip code,54915,54915,43190,-88.35590400,44.24335100,1.3825463990950606,77.91696342536343,7.665526510671769,3.973398904660779,0.4021953161003813,20.2
Zip code,54922,54922,1408,-88.76214000,44.54482100,4.201680672268908,77.47899159663866,3.9670738637266356,3.9014373716632447,0.0,31.5
Zip code,54923,54923,8634,-88.96683200,43.99775700,4.335397808480228,80.60981419723679,6.432279360474578,6.544780074191839,0.7146260123868509,23.2
Zip code,54927,54927,502,-88.65436900,44.10312800,1.7985611510791366,78.41726618705036,5.57,0.0,1.7985611510791366,17.9
Zip code,54929,54929,8724,-88.73937900,44.63659100,5.072286204361676,77.75055133545699,6.406033929159739,8.147963009247688,0.0,21.7
Zip code,54931,54931,213,-88.67913200,44.27450500,0.0,80.0925925925926,4.22,0.0,0.0,19.7
Zip code,54940,54940,4219,-88.84256100,44.22037000,0.8395522388059702,83.76865671641791,5.31027020570689,2.912087912087912,0.0,27.4
Zip code,54942,54942,10403,-88.54736200,44.29410800,0.7657732645247212,78.84135175628434,5.689474189865573,0.0,0.0,20.5
Zip code,54944,54944,9380,-88.62695700,44.32468700,0.8524457073269739,84.75745889993911,4.1496769723758336,1.2359873526875538,0.0,23.7
Zip code,54947,54947,2667,-88.69874900,44.20359400,1.199657240788346,74.80719794344472,5.121409823983343,0.5399568034557235,0.0,21.0
Zip code,54952,54952,27216,-88.32948400,44.20104000,1.925607813257602,76.5533005472051,7.576486992907368,5.581046133311087,0.6372515065456812,20.1
Zip code,54956,54956,46316,-88.52757400,44.18233700,2.740601653949103,78.06320162997883,7.396938206986329,3.606338100627637,0.3395789221365506,18.0
Zip code,54961,54961,14122,-88.76165600,44.41018500,4.580152671755725,81.5804353972293,5.688316102553247,4.361158432708688,0.1413627367825841,28.1
Zip code,54963,54963,7454,-88.77909000,44.04419400,1.6137855579868707,83.36980306345733,5.495390394527373,2.4863760217983653,0.0,25.5
Zip code,54964,54964,1068,-88.71701900,43.92164400,2.083333333333333,75.20833333333333,4.6706928834823245,0.8595988538681949,0.0,23.5
Zip code,54971,54971,10938,-88.82888200,43.85716400,3.510696653867252,75.71768147741818,5.852984092085443,4.518918918918919,0.0,19.5
Zip code,54979,54979,1453,-88.53637400,43.87251100,0.45662100456621,73.78995433789954,4.561913288525748,1.4331210191082804,0.0,20.8
Zip code,54980,54980,166,-88.76728700,43.98358400,0.0,84.04255319148936,4.76,0.0,0.0,32.3
Zip code,54985,54985,590,-88.51846900,44.07506600,,,5.1,,,
Zip code,54986,54986,5138,-88.74990600,44.12330200,1.0837070254110617,82.62331838565022,5.439418061803875,2.9344337459880787,0.0,23.9
