Layer,Name,GEOID,Population,EDA_2019-2023,EDB_2019-2023,EDC_2019-2023,EDE_2019-2023,EDG-X341_2019-2023,FVDEWVAR_2023-2024,FVDEYLCV_2024-2025
,,,,"9th grade education rate (% of residents), 2019-2023","High school graduation rate (% of residents), 2019-2023","Any higher education rate (% of residents), 2019-2023","College graduation rate (% of residents), 2019-2023","Preschool enrollment, 3-4 years (% of toddlers ages 3-4), 2019-2023","Public School Suspensions K-12 (Removal Count), 2023-2024","Public School Enrollment K-12 (Student Count), 2024-2025"
City or town,"Appleton, WI",5502375,75644,97.30318822200648,94.1684665226782,68.30007727822142,37.04202746349099,38.97659227000545,870.0,16095.0
City or town,"Bear Creek, WI",5505575,427,100.0,91.30434782608695,40.76086956521739,7.608695652173914,9.090909090909092,,
City or town,"Black Creek, WI",5507725,1357,99.63414634146342,95.60975609756098,49.51219512195122,12.682926829268292,53.84615384615385,2.0,345.0
City or town,"Brillion, WI",5509725,3262,98.12421842434348,89.24551896623593,44.35181325552314,19.79991663192997,0.0,20.0,965.0
City or town,"Brothertown, WI",5510325,201,97.2222222222222,94.44444444444444,46.666666666666664,15.0,0.0,,
City or town,"Butte des Morts, WI",5511500,1005,100.0,99.15966386554622,66.94677871148458,28.851540616246496,44.680851063829785,,
City or town,"Chilton, WI",5514475,4080,98.86597938144332,94.43298969072164,54.70790378006873,17.457044673539517,62.121212121212125,10.0,1048.0
City or town,"Combined Locks, WI",5516500,3634,100.0,97.14285714285714,58.901098901098905,31.428571428571427,36.48648648648648,3.0,339.0
City or town,"Dale, WI",5518500,570,100.0,98.7012987012987,67.53246753246754,19.264069264069263,0.0,,
City or town,"Eureka, WI",5524475,247,100.0,84.84848484848484,58.78787878787879,24.24242424242424,0.0,,
City or town,"Forest Junction, WI",5526575,746,99.06103286384976,96.0093896713615,55.39906103286385,19.248826291079812,60.0,,
City or town,"Fox Crossing, WI",5526982,18974,97.80469897209986,94.4273127753304,64.55947136563877,34.23641703377386,33.65384615384615,,
City or town,"Harrison, WI",5532790,12418,99.52949277025476,96.16708744549,73.64011934817535,44.88179940325912,40.81632653061224,,
City or town,"Hilbert, WI",5534575,1248,89.29068150208623,88.87343532684284,56.05006954102921,12.9346314325452,0.0,7.0,481.0
City or town,"Hortonville, WI",5535850,3028,99.34123847167324,95.21299956082564,60.38647342995169,25.20860781730347,45.45454545454545,95.0,2313.0
City or town,"Kaukauna, WI",5538800,17089,98.53893408600364,94.006309148265,60.75045658309812,27.11273451768222,46.46924829157175,341.0,4044.0
City or town,"Kiel, WI",5539525,3932,93.93723252496432,89.12268188302424,49.42938659058488,17.76034236804565,24.21875,,
City or town,"Kimberly, WI",5539650,7320,98.98278560250392,94.50312989045383,57.41392801251956,26.68231611893584,35.02824858757062,165.0,3481.0
City or town,"Little Chute, WI",5544950,11619,98.64316510271368,93.96398681207204,56.264265787471466,25.46284554907431,12.413793103448276,73.0,1586.0
City or town,"Menasha, WI",5550825,18268,97.8427222403126,94.2282644089873,62.46336698143927,24.430153044610876,39.69465648854962,494.0,3121.0
City or town,"Neenah, WI",5555750,27319,98.99881580363872,95.08558510065669,68.84487027667133,35.65507589622134,38.53046594982079,518.0,6473.0
City or town,"New Holstein, WI",5556800,3195,99.77668602054489,96.4716391246092,61.09870477891915,30.638677981241624,100.0,13.0,994.0
City or town,"New London, WI",5556925,7348,95.61332250203088,87.36799350121852,37.266450040617386,16.69374492282697,39.017341040462426,,119.0
City or town,"Nichols, WI",5557375,290,98.96907216494846,87.11340206185567,32.98969072164948,6.701030927835052,100.0,,
City or town,"Omro, WI",5559875,3652,98.87071651090342,95.52180685358256,66.90031152647975,27.842679127725855,0.0,82.0,1030.0
City or town,"Oshkosh, WI",5560500,66816,98.1592495944707,93.07191386322496,58.043585584314826,27.317394268519173,20.919689119170982,1245.0,9101.0
City or town,"Potter, WI",5564675,244,99.47089947089948,96.82539682539682,53.96825396825397,11.64021164021164,66.66666666666666,,
City or town,"Seymour, WI",5572725,3546,98.12905689194348,90.950744558992,59.64108438335243,23.596792668957615,0.0,112.0,1427.0
City or town,"Sherwood, WI",5573525,3271,99.37888198757764,98.53593611357586,80.0798580301686,48.09228039041704,39.0625,,
City or town,"Shiocton, WI",5573625,939,96.09929078014184,85.99290780141844,39.184397163120565,9.042553191489365,37.5,18.0,725.0
City or town,"Stockbridge, WI",5577400,678,98.69565217391305,96.95652173913044,66.52173913043478,18.405797101449277,55.55555555555556,2.0,192.0
City or town,"Waukau, WI",5584200,302,100.0,97.03703703703704,27.03703703703704,3.3333333333333335,0.0,,
City or town,"Winchester, WI",5587625,649,99.54954954954955,98.42342342342344,63.288288288288285,25.225225225225223,0.0,,
City or town,"Winneconne, WI",5587900,2544,99.49748743718592,97.5432719151312,69.5142378559464,34.05918481295366,39.62264150943396,12.0,1740.0
City or town,"Wrightstown, WI",5589150,3179,99.03614457831326,94.6987951807229,69.6867469879518,45.54216867469879,27.160493827160497,,
