Layer,Name,GEOID,APR_2024,EJV_2024,EKW_2024,EVR_2018,HBS_2019-2023,HBU_2019-2023,HCP_2024,HUO_2019-2023,MHC_2019-2023,RBS_2019-2023,RBU_2019-2023,REX_2019-2023,RNT_2019-2023,SLA-S_2019-2023,TRV_2019-2023,VAL_2019-2023,INC_2019-2023,FAI_2020
Census tract,Tract 25,55139002500,80.85106383,50,8.25,1.47,10.62887511,29.89371125,5.19999981,33.87953942,929,11.92230409,36.23576691,0.356128075,875,40.44823906,14.3,231500,55349,18.2
Census tract,Tract 26.01,55139002601,75,35,8.56,2.42,6.666666667,30.40229885,0,69.82758621,1015,13.52380952,49.14285714,0.27271031,875,50.53475936,16.9,186800,65119,14.8
Census tract,Tract 26.02,55139002602,72.72727273,59,7.94,0.71,8.388312912,24.92931197,1.72000003,52.0263902,920,12.27897839,35.36345776,0.467333223,843,19.63276836,17.4,198900,53836,14.2
Census tract,Tract 27,55139002700,81.03448276,36,7.67,1.19,6.661562021,13.4762634,0,75.42113323,921,1.869158879,6.230529595,0.319242579,974,32.90598291,19.1,145300,81618,11.4
Census tract,Tract 28,55139002800,67.08860759,35,7.04,2.76,13.34296724,21.96531792,0,74.27745665,856,38.01498127,46.44194757,0.361830692,872,42.63888889,24.1,134900,65982,13.6
Census tract,Tract 29,55139002900,65.55555556,60,8.78,2.42,7.809330629,44.62474645,2.5999999,36.81541582,694,10.59390048,64.52648475,0.193562361,686,64.96815287,30,117400,43676,26.3
Census tract,Tract 30,55139003000,69.35483871,23,6,1.8,6.787878788,17.57575758,0,85.45454545,1067,13.33333333,20,0.146146104,992,18.28254848,18.9,177100,71442,12.9
Census tract,Tract 31,55139003100,77.77777778,21,7.69,1.87,19.52095808,29.34131737,0,70.89820359,1119,44.44444444,62.1399177,0.150458043,895,42.09183673,23.2,186300,85268,12.9
Census tract,Tract 32,55139003200,77.89473684,11,8.33,7.69,5.207226355,15.40913921,0,84.80340064,1211,9.090909091,21.67832168,0.250940064,1093,24.7761194,17.8,193300,96736,11.6
Census tract,Tract 33,55139003300,78.30188679,24,12.83,2.89,5.483405483,13.70851371,2.3499999,63.34776335,972,11.41732283,14.37007874,0.180690685,737,67.62295082,15.9,140100,64196,14
Census tract,Tract 34,55139003400,74.21052632,50,7.81,3.320472448,7.928118393,26.32135307,3.25999999,64.90486258,1017,13.10240964,38.55421687,0.366703051,1003,29.84693878,19.1,146500,67188,16.78780062
Census tract,Tract 35,55139003500,75.58139535,54,8,2.12,7.498144024,42.31625835,1.71000004,28.13659985,951,9.710743802,51.13636364,0.237969764,896,32.87037037,20.9,171800,47708,19.3
Census tract,Tract 36,55139003600,72.18934911,4,8.61,1.42,4.06557377,13.1147541,0,90.03278689,1459,19.73684211,25.65789474,0.193599557,794,24.49922958,16.4,297200,128078,9.1
Census tract,Tract 37.01,55139003701,80.70175439,47,7.94,0.88,9.932885906,25.30201342,0,66.37583893,1028,20.15968064,38.52295409,0.428900921,955,39.64912281,18,185200,58444,13.9
Census tract,Tract 37.03,55139003703,80.3030303,23,6.47,0.31,6.260945709,22.2854641,0,84.28196147,1326,25.90529248,52.64623955,0.212577418,1119,26.49140546,18.1,305700,102344,11.4
Census tract,Tract 37.04,55139003704,72.51908397,7,7.24,0.31,9.067850349,22.76474318,3.26999998,76.91819911,1509,27.74725275,62.63736264,0.355865161,1642,27.62376238,15.4,295700,96397,11.4
