layer,geoid,topic,stratification,period,value
Census tract,55139002602,FVDENZPD,,2022-2023,66.07021255
Census tract,55139002700,FVDENZPD,,2022-2023,78.45578789
Census tract,55139002800,FVDENZPD,,2022-2023,73.99387229
Census tract,55139002900,FVDENZPD,,2022-2023,51.08794007
Census tract,55139003000,FVDENZPD,,2022-2023,74.52720495
Census tract,55139003100,FVDENZPD,,2022-2023,69.4594542
Census tract,55139003200,FVDENZPD,,2022-2023,82.32391475
Census tract,55139003300,FVDENZPD,,2022-2023,69.13982873
Census tract,55139003400,FVDENZPD,,2022-2023,70.00371153
Census tract,55139003500,FVDENZPD,,2022-2023,48.27504131
Census tract,55139003600,FVDENZPD,,2022-2023,86.95183956
Census tract,55139003701,FVDENZPD,,2022-2023,68.44767172
Census tract,55139003703,FVDENZPD,,2022-2023,80.23162205
Census tract,55139003704,FVDENZPD,,2022-2023,76.17464467
Zip code,53014,FVDENZPD,,2022-2023,76.29065811
Zip code,53020,FVDENZPD,,2022-2023,80.08560018
Zip code,53042,FVDENZPD,,2022-2023,78.14399575
Zip code,53049,FVDENZPD,,2022-2023,78.38227516
Zip code,53061,FVDENZPD,,2022-2023,70.85727475
Zip code,53088,FVDENZPD,,2022-2023,68.37927994
Zip code,54106,FVDENZPD,,2022-2023,79.87868094
Zip code,54107,FVDENZPD,,2022-2023,73.79319151
Zip code,54110,FVDENZPD,,2022-2023,77.65400141
Zip code,54113,FVDENZPD,,2022-2023,84.31219125
Zip code,54115,FVDENZPD,,2022-2023,76.30051092
Zip code,54123,FVDENZPD,,2022-2023,83.70068813
Zip code,54129,FVDENZPD,,2022-2023,76.78959625
Zip code,54130,FVDENZPD,,2022-2023,75.46708805
Zip code,54136,FVDENZPD,,2022-2023,67.38481262
Zip code,54140,FVDENZPD,,2022-2023,71.16774767
Zip code,54152,FVDENZPD,,2022-2023,NA
Zip code,54155,FVDENZPD,,2022-2023,73.46266412
Zip code,54160,FVDENZPD,,2022-2023,84.46598468
Zip code,54165,FVDENZPD,,2022-2023,76.96028393
Zip code,54169,FVDENZPD,,2022-2023,82.77777778
Zip code,54170,FVDENZPD,,2022-2023,77.84313725
Zip code,54180,FVDENZPD,,2022-2023,76.51756074
Zip code,54313,FVDENZPD,,2022-2023,83.23876426
Zip code,54901,FVDENZPD,,2022-2023,66.33619096
Zip code,54902,FVDENZPD,,2022-2023,71.46689919
Zip code,54904,FVDENZPD,,2022-2023,78.97860146
Zip code,54911,FVDENZPD,,2022-2023,68.54018929
Zip code,54913,FVDENZPD,,2022-2023,76.39991775
Zip code,54914,FVDENZPD,,2022-2023,74.52029414
Zip code,54915,FVDENZPD,,2022-2023,75.39752216
Zip code,54922,FVDENZPD,,2022-2023,77.70095022
Zip code,54923,FVDENZPD,,2022-2023,70.74190066
Zip code,54927,FVDENZPD,,2022-2023,83.82012863
Zip code,54929,FVDENZPD,,2022-2023,69.00557066
Zip code,54931,FVDENZPD,,2022-2023,86.31944444
Zip code,54940,FVDENZPD,,2022-2023,78.15581375
Zip code,54942,FVDENZPD,,2022-2023,83.90571579
Zip code,54944,FVDENZPD,,2022-2023,81.71016044
Zip code,54947,FVDENZPD,,2022-2023,85
Zip code,54952,FVDENZPD,,2022-2023,72.31842492
Zip code,54956,FVDENZPD,,2022-2023,74.66087889
Zip code,54961,FVDENZPD,,2022-2023,67.38835499
Zip code,54963,FVDENZPD,,2022-2023,73.12586132
Zip code,54964,FVDENZPD,,2022-2023,76.54206719
Zip code,54971,FVDENZPD,,2022-2023,70.75044209
Zip code,54979,FVDENZPD,,2022-2023,79.2190207
Zip code,54980,FVDENZPD,,2022-2023,NA
Zip code,54985,FVDENZPD,,2022-2023,NA
Zip code,54986,FVDENZPD,,2022-2023,77.27508911
City or town,5502375,FVDENZPD,,2022-2023,72.67969046
City or town,5505575,FVDENZPD,,2022-2023,75.25639252
City or town,5507725,FVDENZPD,,2022-2023,68.35201079
City or town,5509725,FVDENZPD,,2022-2023,72.04093806
City or town,5510325,FVDENZPD,,2022-2023,NA
City or town,5511500,FVDENZPD,,2022-2023,77.67052276
City or town,5514475,FVDENZPD,,2022-2023,73.36279499
City or town,5516500,FVDENZPD,,2022-2023,81.71681702
City or town,5518500,FVDENZPD,,2022-2023,84.46759259
City or town,5524475,FVDENZPD,,2022-2023,62.66136116
City or town,5526575,FVDENZPD,,2022-2023,74.67696781
City or town,5526982,FVDENZPD,,2022-2023,70.62097117
City or town,5532790,FVDENZPD,,2022-2023,83.84099188
City or town,5534575,FVDENZPD,,2022-2023,73.81754506
City or town,5535850,FVDENZPD,,2022-2023,73.11571485
City or town,5538800,FVDENZPD,,2022-2023,72.17006116
City or town,5539525,FVDENZPD,,2022-2023,73.52479197
City or town,5539650,FVDENZPD,,2022-2023,67.31070661
City or town,5544950,FVDENZPD,,2022-2023,66.66282332
City or town,5550825,FVDENZPD,,2022-2023,71.10630353
City or town,5555750,FVDENZPD,,2022-2023,71.63253599
City or town,5556800,FVDENZPD,,2022-2023,64.50631035
City or town,5556925,FVDENZPD,,2022-2023,60.20058013
City or town,5557375,FVDENZPD,,2022-2023,62.51624534
City or town,5559875,FVDENZPD,,2022-2023,69.03734492
City or town,5560500,FVDENZPD,,2022-2023,67.79692151
City or town,5564675,FVDENZPD,,2022-2023,81.96598468
City or town,5572725,FVDENZPD,,2022-2023,74.20730692
City or town,5573525,FVDENZPD,,2022-2023,81.27880528
City or town,5573625,FVDENZPD,,2022-2023,69.79791114
City or town,5577400,FVDENZPD,,2022-2023,54.74010616
City or town,5584200,FVDENZPD,,2022-2023,NA
City or town,5587625,FVDENZPD,,2022-2023,79.06491885
City or town,5587900,FVDENZPD,,2022-2023,71.00916189
City or town,5589150,FVDENZPD,,2022-2023,74.07166548
County,55015,FVDENZPD,,2022-2023,77.38487083
County,55087,FVDENZPD,,2022-2023,75.80972049
County,55139,FVDENZPD,,2022-2023,72.61726322
Region,fox-valley,FVDENZPD,,2022-2023,75.27061818
