Layer,Name,GEOID,HBS_2019-2023,HBU_2019-2023,HUO_2019-2023,MHC_2019-2023,RBS_2019-2023,RBU_2019-2023,REX_2019-2023,RNT_2019-2023,SLA-S_2019-2023,TRV_2019-2023,VAL_2019-2023,FAI_2020,INC_2019-2023
Census tract,Tract 201,55015020100,5.623471882640587,18.728606356968218,80.24449877750611,965.9999999999999,22.02970297029703,28.217821782178216,0.089339829,809.9999999999999,27.171492204899774,22.6,201999.99999999997,10.499952505866625,77439.99999999999
Census tract,Tract 202,55015020200,10.39056742815033,23.80250552689757,83.78776713338246,1032,18.636363636363637,45.45454545454545,0.1916290924083131,1042.9999999999998,20.373027259684363,23.5,215300,8.700152109011476,75382
Census tract,Tract 203.03,55015020303,1.477832512315271,11.945812807881774,82.82019704433498,1155.9999999999998,0,13.261648745519713,0.3668814125442748,1076.9999999999998,19.15708812260537,26,186099.99999999997,14.7,72714
Census tract,Tract 203.04,55015020304,10.15831134564644,21.372031662269126,50.59366754617414,868.9999999999999,16.555407209612817,33.37783711615487,0.4586303674145758,766,18.01801801801802,22.4,218499.99999999997,11.3,64604.99999999999
Census tract,Tract 203.06,55015020306,7.545760179305192,20.02241314904744,98.13223758,1514,0,42,0.098504182,1174,23.23049001814882,25.1,300100,7.6,102398.99999999999
Census tract,Tract 203.08,55015020308,11.74068402246044,22.76671771311894,78.91781521184278,1531,26.150121065375306,57.62711864,0.3267943634460972,1389,36.14627285513362,19.2,354400,8.5,112472.99999999999
Census tract,Tract 204,55015020400,16.189856957087127,25.03250975292588,89.79193758127438,1130,20.382165605095544,21.656050955414013,0.1050036461163097,721,26.948051948051948,30.2,285500,9.101983912132278,77166.99999999999
Census tract,Tract 205,55015020500,5.322003577817531,13.103756708407872,76.52057245080502,732.9999999999999,18.285714285714285,22.666666666666664,0.159528029,745.9999999999999,30.90024330900243,19,178099.99999999997,13.199341808526476,75962
Census tract,Tract 206,55015020600,4.926335175,17.587476979742174,77.20994475138122,920,15.757575757575756,31.91919191919192,0.1843831118560266,807,31.96229648671808,29.6,182299.99999999997,11.199780048374805,70069
Census tract,Tract 207,55015020700,7.590759075907591,16.435643564356436,96.43564356435644,1723.9999999999998,0,42.592592592592595,0.1917681838641819,1396.9999999999998,11.598746081504702,19.4,340099.99999999994,5.7,142152.99999999997
