Layer,Name,GEOID,EKW_2024,HBS_2019-2023,HBU_2019-2023,HUO_2019-2023,MHC_2019-2023,RBS_2019-2023,RBU_2019-2023,REX_2019-2023,RNT_2019-2023,SLA-S_2019-2023,TRV_2019-2023,VAL_2019-2023,FAI_2023,INC_2019-2023
Region counties,Tri-County,fox-valley,8.148634077,7.921081918,21.20435765,70.29308839,1073.51254,14.70858784,35.4972193,0.256845419,966.7287693,30.11579499,20.08704773,229851.897,10.59338937,79336.49702
County,"Calumet County, WI",55015,6.45830651,7.737783075,18.56495828,80.67699642,1166,15.37132988,31.3594868,0.219368253,1002,26.62974501,22.8,252100,8.8,87700
County,"Outagamie County, WI",55087,7.389208988,7.022359171,19.94458758,71.7396652,1106,13.02913689,33.75022906,0.264961379,998,30.19573417,20.5,244100,10,82857
County,"Winnebago County, WI",55139,9.508153788,8.909363796,23.27746741,65.78976625,1013,16.2651826,38.50997278,0.259277279,924,31.09157459,18.8,208600,11.8,72873
